   ,  ID  ,Amount,,   Date   ,EmptyCol1,EmptyCol2,EmptyCol3,Status,Notes,Unnamed: 10,Unnamed: 11
,  TX001  , 100.50 ,, 2024-01-01 ,,,   , Active ,  Payment  ,,
, TX002,250,,2024-01-02,,,  ,Pending, Transfer ,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,TX003 , 300.75,, 2024-01-03 ,,,   , Completed ,  Invoice  ,,
,  TX004  ,400.25 ,,2024-01-04,,, ,Active, Subscription ,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,   TX005   ,  500.00  ,, 2024-01-05 ,,,    , Pending ,  Refund  ,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
